dhsyear,dhsclust,latnum,longnum,quarter,id,left,top,right,bottom
"2011","354",1.914751,33.230352,"3","757",33.101846529,2.089278393,33.301846529,1.889278393
"2016","376",2.07612232508,33.1727702528,"2","757",33.101846529,2.089278393,33.301846529,1.889278393
"2016","377",2.07728137206,33.2354325627,"2","757",33.101846529,2.089278393,33.301846529,1.889278393
"2016","384",1.92364796691,33.1653996309,"3","757",33.101846529,2.089278393,33.301846529,1.889278393
"2016","385",2.63555211063,33.4515474669,"3","785",33.301846529,2.689278393,33.501846529,2.489278393
"2016","386",2.68101918775,33.3768813551,"3","785",33.301846529,2.689278393,33.501846529,2.489278393
"2016","386",2.68101918775,33.3768813551,"4","785",33.301846529,2.689278393,33.501846529,2.489278393
"2000","2209",2.43113312036,33.4174732321,"4","786",33.301846529,2.489278393,33.501846529,2.289278393
"2016","380",2.42536291778,33.3442414035,"3","786",33.301846529,2.489278393,33.501846529,2.289278393
"2006","364",2.117532,33.349763,"2","787",33.301846529,2.289278393,33.501846529,2.089278393
"2006","365",2.237835,33.394558,"2","787",33.301846529,2.289278393,33.501846529,2.089278393
"2006","365",2.237835,33.394558,"3","787",33.301846529,2.289278393,33.501846529,2.089278393
"2016","296",2.11442164551,33.491467547,"2","787",33.301846529,2.289278393,33.501846529,2.089278393
"2016","347",2.21996016512,33.3080468885,"3","787",33.301846529,2.289278393,33.501846529,2.089278393
"2016","292",1.94713283123,33.3498249707,"4","788",33.301846529,2.089278393,33.501846529,1.889278393
"2006","226",2.669283,33.5424,"3","816",33.501846529,2.689278393,33.701846529,2.489278393
"2011","470",2.620998,33.657362,"4","816",33.501846529,2.689278393,33.701846529,2.489278393
"2011","471",2.511105,33.601392,"4","816",33.501846529,2.689278393,33.701846529,2.489278393
"2016","335",2.59934539296,33.611183775,"4","816",33.501846529,2.689278393,33.701846529,2.489278393
"2016","342",2.39320382861,33.6340940163,"3","817",33.501846529,2.489278393,33.701846529,2.289278393
"2011","349",2.13719,33.641947,"3","818",33.501846529,2.289278393,33.701846529,2.089278393
